book_id,title,author,rating,ratings_count,reviews_count,description,genres,pages,format,publication_date,literary_awards,original_title,series,setting,characters,isbn,language																																																																																																																												
11,The HitchhikerвЂ™s Guide to the Galaxy,Douglas Adams,4.22,2024865,56393,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy	 Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone	 Marvin, a paranoid, brilliant, and chronically depressed robot	 Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!","Science Fiction, Fiction, Classics, Humor, Fantasy, Audiobook, Comedy, Science Fiction Fantasy, Adventure, Novels",216,Mass Market Paperback,"January 01, 2005",,The HitchhikerвЂ™s Guide to the Galaxy,The HitchhikerвЂ™s Guide to the Galaxy,"Magrathea, Space","Zaphod Beeblebrox, Arthur Dent, Ford Prefect, Trillian, Marvin, the paranoid android, Slartibartfast",,English																																																																																																																									
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,4.38,338983,6881,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ""The Hitchhiker's Guide to the Galaxy""Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.""The Restaurant at the End of the Universe""Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.""Life, the Universe and Everything""The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert mild-mannered Arthur Dent and his stalwart crew.""So Long, and Thanks for All the Fish""Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.""Mostly Harmless""Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?Also includes the short story ""Young Zaphod Plays It Safe"".","Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Adventure, Novels, Space",815,Leather Bound,"November 01, 2005",,The Ultimate HitchhikerвЂ™s Guide: Five Complete Novels and One Story,The HitchhikerвЂ™s Guide to the Galaxy,,"Zaphod Beeblebrox, Arthur Dent, Ford Prefect, Trillian, Marvin, the paranoid android",9780517226957,English																																																																																																																												
13,The Ultimate HitchhikerвЂ™s Guide to the Galaxy,Douglas Adams,4.38,338983,6881,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ""The Hitchhiker's Guide to the Galaxy""Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.""The Restaurant at the End of the Universe""Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.""Life, the Universe and Everything""The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert mild-mannered Arthur Dent and his stalwart crew.""So Long, and Thanks for All the Fish""Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.""Mostly Harmless""Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?Also includes the short story ""Young Zaphod Plays It Safe"".","Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Adventure, Novels, Space",815,Paperback,"April 28, 2002",,The Ultimate HitchhikerвЂ™s Guide: Five Complete Novels and One Story,The HitchhikerвЂ™s Guide to the Galaxy,,"Zaphod Beeblebrox, Arthur Dent, Ford Prefect, Trillian, Marvin, the paranoid android",9780345453747,English																																																																																																																												
14,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,2024865,56393,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy	 Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone	 Marvin, a paranoid, brilliant, and chronically depressed robot	 Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!","Science Fiction, Fiction, Classics, Humor, Fantasy, Audiobook, Comedy, Science Fiction Fantasy, Adventure, Novels",215,Hardcover,"August 03, 2004",,The HitchhikerвЂ™s Guide to the Galaxy,The HitchhikerвЂ™s Guide to the Galaxy,"Magrathea, Space","Zaphod Beeblebrox, Arthur Dent, Ford Prefect, Trillian, Marvin, the paranoid android, Slartibartfast",9781400052929,English																																																																																																																									
15,The Hitchhiker's Guide to Lean: Lessons from the Road,Jamie Flinchbaugh,3.85,103,5,"Embarking on a lean journey is similar to hitchhiking -- there are many roads on which to wander and no single one is right for all. This book reveals the most critical lessons learned over the authors' combined 30-plus years of exploring lean highways and shares stories based on real-world applications. The authors focus on areas where most lean efforts fail to illustrate steps to take to reenergize, accelerate and sustain a lean transformation. The book's ten chapters cover lean principles and thinking, lean leadership moves, the roadmap for lean transformation, common pitfalls of lean journeys, building an operating system, lean accounting, lean material management, lean in service organizations, and how individuals can apply lean to improve themselves. The book concludes with interviews of lean practitioners on the front lines of change at Chrysler, Ross Controls, DTE Energy. RSR Corporation, and Nemak.","Business, Management",216,Hardcover,"December 01, 2005",,The Hitchhiker's Guide to Lean: Lessons from the Road,,,,9780872638310,English																																																																																																																												
16,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,2024865,56393,"Don't leave Earth without this hilarious international bestseller about the end of the world and the happy-go-lucky days that follow. Join the gruesome two-some of Arthur Dent and his friend, Ford Prefect, in their now-famous intergalactic journey through time and space.","Science Fiction, Fiction, Classics, Humor, Fantasy, Audiobook, Comedy, Science Fiction Fantasy, Adventure, Novels",6,Audio CD,"March 23, 2005",,The HitchhikerвЂ™s Guide to the Galaxy,The HitchhikerвЂ™s Guide to the Galaxy,"Magrathea, Space","Zaphod Beeblebrox, Arthur Dent, Ford Prefect, Trillian, Marvin, the paranoid android, Slartibartfast",9780739322208,English																																																																																																																												
17,The Hitchhiker's Guide to the Galaxy: Quandary Phase,Douglas Adams,4.32,960,48,"Many are familiar with Douglas Adams's classic Hitchhiker's Guide to the Galaxy series, but few know that these books started out as a multi-part series performed on BBC radio. This installment, part four, is a robust radio dramatization of So Long and Thanks for All the Fish. The Earth has miraculously reappeared and Arthur Dent is in love with the otherworldly Fenchurch, but Ford Prefect has an idea that might burst ArthurвЂ™s happy little bubble. What is really going on with ArthurвЂ™s dream girl, where have all the dolphins gone, and what was their departing message to mankind?","Science Fiction, Audiobook, Humor, Fiction, Comedy, Science Fiction Fantasy, Fantasy, Plays, Classics, British Literature",3,Audio CD,"October 25, 2005",,,Hitchhiker's Guide BBC Radio Series,,,9781572704886,English																																																																																																																												
18,The Ultimate Hitchhiker's Guide,Douglas Adams,4.38,338983,6881,"""The Hitchhiker's Guide to the Galaxy""Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.""The Restaurant at the End of the Universe""Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.""Life, the Universe and Everything""The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.""So Long, and Thanks for All the Fish""Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.""Mostly Harmless""Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?Also includes the short story ""Young Zaphod Plays It Safe"".","Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Adventure, Novels, Space",817,Hardcover,"January 17, 1996",,The Ultimate HitchhikerвЂ™s Guide: Five Complete Novels and One Story,The HitchhikerвЂ™s Guide to the Galaxy,,"Zaphod Beeblebrox, Arthur Dent, Ford Prefect, Trillian, Marvin, the paranoid android",9780517149256,English																																																																																																																												
19,The Hitchhiker's Guide to the Galaxy: The Quintessential Phase,Douglas Adams,4.35,897,43,"Panic! It's the last installment of The Hitchhiker's Guide to the Galaxy, with a brand new full-cast dramatization of Mostly Harmless, the final book in Douglas Adams' famous ""trilogy in five parts."" While frequent flyer Arthur Dent searches the universe for his lost love, Ford Prefect discovers a disturbing blast from the past at. The Hitchhiker's Guide HQ. Meanwhile, on one of many versions of Earth, a blonder, more American Trillian gets tangled up with a party of lost aliens having an identity crisis. A stolen ship, a dramatic stampede, and a new and sinister Guide lead to a race to save the earth. . .again.","Science Fiction, Audiobook, Humor, Fiction, Comedy, Science Fiction Fantasy, Drama, Time Travel, Plays, Adult",3,Library Binding,"May 28, 2006",,The Hitchhiker's Guide to the Galaxy: The Quintessential Phase,Hitchhiker's Guide BBC Radio Series,,,9780792738589,English																																																																																																																												
21,A Short History of Nearly Everything,Bill Bryson,4.22,424559,17588,"Bill Bryson describes himself as a reluctant traveller, but even when he stays safely at home he can't contain his curiosity about the world around him. ""A Short History of Nearly Everything"" is his quest to understand everything that has happened from the Big Bang to the rise of civilisation - how we got from there, being nothing at all, to here, being us. The ultimate eye-opening journey through time and space, revealing the world in a way most of us have never seen it before.","Nonfiction, Science, History, Audiobook, Humor, Physics, Popular Science, Historical, Philosophy, Unfinished",544,Paperback,"September 14, 2004","EU Descartes Prize, The Baillie Gifford Prize for Non-Fiction, J. A. Hollon palkinto",A Short History of Nearly Everything,,,,9780767908184,English																																																																																																																												
22,Bill Bryson's African Diary,Bill Bryson,3.49,10509,731,"In the early fall of 2002, famed travel Writer Bill Bryson journeyed to Kenya at the invitation of CARE International, the charity dedicated to working with local communities to eradicate poverty around the world. He arrived with a set of mental images of Africa gleaned from television broadcasts of low-budget Jungle Jim movies in his Iowa childhood and a single viewing of the film version of Out of Africa. (Also with some worries about tropical diseases, insects and large predators.) But the vibrant reality of Kenya and its people took over the second he deplaned in Nairobi, and this diary records Bill Bryson's impresssions of his trip with his inimitable trademark style of wry observation and curious insight. From the wrenching poverty of the Kibera slum in Nairobi to the meticulously manicured grounds of the Karen Blixen house and the human fossil riches of the National Museum, Bryson registers the striking contrasts of a postcolonial society in transition. He visits the astoundingly vast Great Rift Valley	 undergoes the rigors of a teeth-rattling train journey to Mombasa and a hair-whitening flight through a vicious storm	 and visits the refugee camps and the agricultural and economic projects where dedicated CARE professionals wage noble and dogged war against poverty, dislocation and corruption.","Travel, Nonfiction, Africa, Memoir, Humor, Kenya, Biography, History, Travelogue, Adventure",55,Hardcover,"December 03, 2002",,Bill Bryson's African Diary,,"Kenya, Nairobi, East Africa, Great Rift Valley, Mombasa, Africa",,9780767915069,English																																																																																																																										
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.89,3240,223,"A revised and updated edition of a humorous primer on the English language, expanded for an American audience, contains entries on correct and questionable usage, a glossary, and a pronunciation guide.","Nonfiction, Writing, Language, Reference, Linguistics, Humor, Words, Books About Books, History, Dictionaries",256,Paperback,"September 14, 2004",,The Penguin Dictionary of Troublesome Words,,,,9780767910439,English																																																																																																																												
24,In a Sunburned Country,Bill Bryson,4.07,122546,7386,"It is the driest, flattest, hottest, most desiccated, infertile and climatically aggressive of all the inhabited continents and still Australia teems with life вЂ“ a large portion of it quite deadly. In fact, Australia has more things that can kill you in a very nasty way than anywhere else.Ignoring such dangers вЂ“ and yet curiously obsessed by them вЂ“ Bill Bryson journeyed to Australia and promptly fell in love with the country. And who can blame him? The people are cheerful, extrovert, quick-witted and unfailingly obliging: their cities are safe and clean and nearly always built on water	 the food is excellent	 the beer is cold and the sun nearly always shines. Life doesnвЂ™t get much better than thisвЂ¦","Travel, Nonfiction, Humor, Australia, Memoir, Audiobook, History, Adventure, Book Club, Biography",335,Paperback,"May 15, 2001","Puddly Award, Thurber Prize",Down Under,,"Australia, Sydney, New South Wales, Alice Springs, Northern Territory, Australian Outback, New South Wales",,9780767903868,English																																																																																																																										
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,69557,3451,"After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens--as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item. Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away.","Nonfiction, Travel, Humor, Memoir, Essays, Biography, Audiobook, American, The United States Of America, Comedy",304,Paperback,"June 28, 2000",,Notes from a Big Country,,,,9780767903820,English																																																																																																																												
